Test Results
============
runfile('D:/Data/Research/2023/bgdstdwtfix.py', wdir='D:/Data/Research/2023')

DST cutting factor: 1, 0.5, 0.25
Wavelet filters: db1 ... db6, bior1.1, bior1.3, bior1.5
                 bior2.2, bior2.4, bior2.6,
		 bior3.1, bior3.3, bior3.5,
Remarks:
(a) WaveFilter: Wavelet Filter
    FrameLength: Frame Blocking Length
(b) Accuracy: Accuracy results. From left to right, they correspond to
    the number of feature extraction coefficients (1..8)

-----------------------------------------------------------------------------------
FrameLength =   256 , Accuracy =  [14.29 56.43 65.00 80.00 81.43 82.14 90.00 87.14]
FrameLength =   512 , Accuracy =  [14.29 45.71 74.29 63.57 62.86 82.86 81.43 91.43]
FrameLength =  1024 , Accuracy =  [14.29 32.86 69.29 72.86 82.86 77.14 86.43 92.86]
FrameLength =  2048 , Accuracy =  [14.29 38.57 59.29 52.14 77.14 82.14 84.29 82.14]

DSTCuttingFactor = 0.25 , WaveFilter =  bior2.2
FrameLength =   128 , Accuracy =  [14.29 31.43 50.00 60.00 64.29 67.14 70.71 75.71]
FrameLength =   256 , Accuracy =  [14.29 27.14 42.86 61.43 70.00 81.43 81.43 84.29]
FrameLength =   512 , Accuracy =  [14.29 44.29 53.57 70.00 70.00 85.71 84.29 88.57]
FrameLength =  1024 , Accuracy =  [14.29 43.57 64.29 73.57 77.86 82.86 90.00 92.86]
FrameLength =  2048 , Accuracy =  [14.29 54.29 72.86 80.00 77.86 84.29 85.71 88.57]

DSTCuttingFactor = 0.25 , WaveFilter =  bior2.4
FrameLength =   128 , Accuracy =  [14.29 29.29 52.14 64.29 66.43 68.57 72.86 75.00]
FrameLength =   256 , Accuracy =  [14.29 22.14 40.00 62.14 70.00 79.29 84.29 88.57]
FrameLength =   512 , Accuracy =  [14.29 45.71 44.29 65.00 68.57 84.29 85.71 91.43]
FrameLength =  1024 , Accuracy =  [14.29 45.71 60.00 71.43 72.86 80.00 85.71 87.86]
FrameLength =  2048 , Accuracy =  [14.29 58.57 70.71 75.00 72.86 80.00 80.00 82.14]

DSTCuttingFactor = 0.25 , WaveFilter =  bior2.6
FrameLength =   128 , Accuracy =  [14.29 28.57 54.29 62.86 67.86 67.14 72.86 74.29]
FrameLength =   256 , Accuracy =  [14.29 32.86 42.14 65.71 75.71 78.57 84.29 88.57]
FrameLength =   512 , Accuracy =  [14.29 37.86 48.57 58.57 67.14 84.29 85.71 91.43]
FrameLength =  1024 , Accuracy =  [14.29 41.43 61.43 72.14 68.57 72.86 80.00 84.29]
FrameLength =  2048 , Accuracy =  [14.29 41.43 57.14 64.29 72.86 78.57 77.86 80.71]

DSTCuttingFactor = 0.25 , WaveFilter =  bior3.1
FrameLength =   128 , Accuracy =  [14.29 14.29 42.86 52.14 52.86 51.43 55.00 62.14]
FrameLength =   256 , Accuracy =  [14.29 37.86 47.14 44.29 57.14 59.29 70.71 74.29]
FrameLength =   512 , Accuracy =  [14.29 38.57 65.00 82.86 87.86 87.14 84.29 87.14]
FrameLength =  1024 , Accuracy =  [14.29 38.57 53.57 65.71 70.00 75.71 92.86 90.00]
FrameLength =  2048 , Accuracy =  [14.29 29.29 35.00 47.86 61.43 61.43 75.71 77.14]

DSTCuttingFactor = 0.25 , WaveFilter =  bior3.3
FrameLength =   128 , Accuracy =  [14.29 33.57 42.86 54.29 63.57 64.29 62.86 73.57]
FrameLength =   256 , Accuracy =  [14.29 48.57 56.43 56.43 67.14 67.14 80.00 85.71]
FrameLength =   512 , Accuracy =  [14.29 53.57 77.14 80.00 82.86 91.43 92.86 91.43]
FrameLength =  1024 , Accuracy =  [14.29 45.00 80.00 88.57 90.00 88.57 94.29 96.43]
FrameLength =  2048 , Accuracy =  [14.29 30.00 55.71 64.29 80.71 82.14 87.14 85.71]

DSTCuttingFactor = 0.25 , WaveFilter =  bior3.5
